WigleWifi-1.4,appRelease=2.26,model=yishay,release=5.0.1,device=ja3g,display=LRX22C.I9500XXUHOI1,board=universal5410,brand=samsung,,,
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-73,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-69,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-80,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-84,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-86,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-84,32.11190111,35.21470223,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-79,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:be:cc:77,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-86,32.11190111,35.21470223,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-47,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-41,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-65,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-79,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-69,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-83,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-85,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-86,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-83,32.11151237,35.21422173,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-88,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:be:cc:77,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-86,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:be:c8:17,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,48,-47,32.11151237,35.21422173,0,83.42707825,WIFI
b2:72:bf:7a:a4:da,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],01/01/1970 02:00,11,-88,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-76,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.11151237,35.21422173,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-82,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.11151237,35.21422173,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-47,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-41,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-63,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-70,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-79,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-64,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-82,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-81,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-85,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-88,32.11112363,35.21374122,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-88,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:be:cc:77,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-86,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:be:c8:17,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,48,-47,32.11112363,35.21374122,0,83.42707825,WIFI
b2:72:bf:7a:a4:da,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],01/01/1970 02:00,11,-88,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-76,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.11112363,35.21374122,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-82,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:d0:08,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:d0:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-89,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:d3:78,Ariel_University,[ESS],01/01/1970 02:00,1,-88,32.11112363,35.21374122,0,83.42707825,WIFI
8c:0c:90:2d:7a:58,Ariel_University,[ESS],01/01/1970 02:00,6,-94,32.11112363,35.21374122,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-46,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-41,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-67,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-70,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-76,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-64,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-81,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-83,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-85,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-81,32.11073489,35.21326072,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-88,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:be:cc:77,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-87,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:be:c8:17,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,48,-47,32.11073489,35.21326072,0,83.42707825,WIFI
b2:72:bf:7a:a4:da,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],01/01/1970 02:00,11,-88,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-76,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-85,32.11073489,35.21326072,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-82,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:d0:08,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:d0:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-89,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:d3:78,Ariel_University,[ESS],01/01/1970 02:00,1,-88,32.11073489,35.21326072,0,83.42707825,WIFI
8c:0c:90:2d:7a:58,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:be:61:c7,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,40,-84,32.11073489,35.21326072,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-48,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-46,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-68,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-76,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-83,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-83,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-85,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-82,32.11034615,35.21278021,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-85,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:be:cc:77,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-87,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-73,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-85,32.11034615,35.21278021,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.11034615,35.21278021,0,83.42707825,WIFI
8c:0c:90:2d:7a:58,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:be:61:c7,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,40,-84,32.11034615,35.21278021,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-46,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-41,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-66,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-76,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-83,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-82,32.10995741,35.21229971,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-85,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-73,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.10995741,35.21229971,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-82,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-66,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:be:ce:37,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,36,-82,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS],01/01/1970 02:00,56,-88,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c7:88,Ariel_University,[ESS],01/01/1970 02:00,1,-88,32.10995741,35.21229971,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-49,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-41,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-66,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-70,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-80,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-85,32.10956867,35.2118192,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-85,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.10956867,35.2118192,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-66,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:be:ce:37,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,36,-87,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS],01/01/1970 02:00,56,-88,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c7:88,Ariel_University,[ESS],01/01/1970 02:00,1,-88,32.10956867,35.2118192,0,83.42707825,WIFI
1c:b9:c4:56:12:c3,island-1612C0,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,4,-82,32.10956867,35.2118192,0,83.42707825,WIFI
b0:e2:35:d0:bb:a0,gili,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,6,-88,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c8:2c,Ariel_University,[ESS],01/01/1970 02:00,44,-87,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-87,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-87,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:d3:78,Ariel_University,[ESS],01/01/1970 02:00,1,-85,32.10956867,35.2118192,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-49,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-40,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-65,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-67,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-84,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-77,32.10917993,35.2113387,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-82,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-85,32.10917993,35.2113387,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-66,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:be:ce:37,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,36,-87,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS],01/01/1970 02:00,56,-88,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c7:88,Ariel_University,[ESS],01/01/1970 02:00,1,-88,32.10917993,35.2113387,0,83.42707825,WIFI
1c:b9:c4:56:12:c3,island-1612C0,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,4,-88,32.10917993,35.2113387,0,83.42707825,WIFI
b0:e2:35:d0:bb:a0,gili,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,6,-88,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c8:2c,Ariel_University,[ESS],01/01/1970 02:00,44,-87,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-87,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-87,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:d3:78,Ariel_University,[ESS],01/01/1970 02:00,1,-85,32.10917993,35.2113387,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-59,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-58,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-60,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-55,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-61,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-84,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-68,32.10879119,35.21085819,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-76,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-82,32.10879119,35.21085819,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-70,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-60,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:be:ce:37,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,36,-69,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS],01/01/1970 02:00,56,-88,32.10879119,35.21085819,0,83.42707825,WIFI
1c:b9:c4:56:12:c3,island-1612C0,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,4,-88,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-82,32.10879119,35.21085819,0,83.42707825,WIFI
1c:b9:c4:16:05:dc,Smart-Class,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/01/1970 02:00,52,-88,32.10879119,35.21085819,0,83.42707825,WIFI
b2:72:bf:7a:a4:da,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],01/01/1970 02:00,11,-85,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.10879119,35.21085819,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-57,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-52,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-66,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c8:08,Ariel_University,[ESS],01/01/1970 02:00,1,-61,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],01/01/1970 02:00,1,-64,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:d6:fc,Ariel_University,[ESS],01/01/1970 02:00,44,-77,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:ce:3c,Ariel_University,[ESS],01/01/1970 02:00,36,-79,32.10840245,35.21037769,0,83.42707825,WIFI
10:be:f5:3a:25:16,ariel_cyber,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,7,-76,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS],01/01/1970 02:00,6,-76,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:cc:78,Ariel_University,[ESS],01/01/1970 02:00,6,-79,32.10840245,35.21037769,0,83.42707825,WIFI
ec:8c:a2:26:d2:98,Ariel_University,[ESS],01/01/1970 02:00,11,-82,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:be:c8:07,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,44,-60,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:be:ce:37,,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,36,-69,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c7:8c,Ariel_University,[ESS],01/01/1970 02:00,56,-88,32.10840245,35.21037769,0,83.42707825,WIFI
1c:b9:c4:56:12:c3,island-1612C0,[WPA2-PSK-CCMP][ESS],01/01/1970 02:00,4,-88,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:61:cc,Ariel_University,[ESS],01/01/1970 02:00,40,-81,32.10840245,35.21037769,0,83.42707825,WIFI
1c:b9:c4:16:05:dc,Smart-Class,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],01/01/1970 02:00,52,-88,32.10840245,35.21037769,0,83.42707825,WIFI
b2:72:bf:7a:a4:da,AndroidAP,[WPA2-PSK-CCMP][ESS][SEC80][SECD00],01/01/1970 02:00,11,-85,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:d0:38,Ariel_University,[ESS],01/01/1970 02:00,11,-88,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:cc:7c,Ariel_University,[ESS],01/01/1970 02:00,44,-76,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c8:2c,Ariel_University,[ESS],01/01/1970 02:00,44,-88,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:61:c8,Ariel_University,[ESS],01/01/1970 02:00,11,-85,32.10840245,35.21037769,0,83.42707825,WIFI
f0:b0:52:3e:c8:1c,Ariel_University,[ESS],01/01/1970 02:00,48,-65,32.10801371,35.20989718,0,83.42707825,WIFI
f0:b0:52:3e:c8:18,Ariel_University,[ESS],01/01/1970 02:00,11,-58,32.10801371,35.20989718,0,83.42707825,WIFI
f0:b0:52:3e:c8:0c,Ariel_University,[ESS],01/01/1970 02:00,44,-61,32.10801371,35.20989718,0,83.42707825,WIFI
